/ ============================================================
/ BLOQUE DE MEMORIA - BUSCAMINAS
/ Generado automáticamente por generar_tablero.py
/ ------------------------------------------------------------
/ Tablero Real    → 0x100 .. 0x1FF
/ Tablero Visible → 0x200 .. 0x2FF
/ ------------------------------------------------------------
/ Valores tablero real:
/   0xFFF = mina (-1)
/   0x000..0x008 = cantidad de vecinos
/ Valores tablero visible:
/   0x000 = oculta
/   0x001 = revelada
/   0x002 = bandera
/ ============================================================

/ --- TABLERO REAL ---
100, FFF
101, 001
102, 000
103, 000
104, 001
105, 001
106, 002
107, FFF
108, 001
109, 001
10A, 001
10B, 001
10C, 001
10D, FFF
10E, 001
10F, 000
110, 002
111, 002
112, 001
113, 000
114, 001
115, FFF
116, 002
117, 002
118, 002
119, 002
11A, FFF
11B, 001
11C, 001
11D, 002
11E, 002
11F, 001
120, 001
121, FFF
122, 003
123, 002
124, 002
125, 001
126, 001
127, 001
128, FFF
129, 002
12A, 002
12B, 002
12C, 001
12D, 001
12E, FFF
12F, 001
130, 002
131, 003
132, FFF
133, FFF
134, 002
135, 002
136, 001
137, 002
138, 001
139, 001
13A, 001
13B, FFF
13C, 001
13D, 001
13E, 002
13F, 002
140, FFF
141, 002
142, 002
143, 004
144, FFF
145, 003
146, FFF
147, 001
148, 001
149, 001
14A, 002
14B, 001
14C, 001
14D, 000
14E, 001
14F, FFF
150, 001
151, 001
152, 000
153, 002
154, FFF
155, 003
156, 001
157, 001
158, 001
159, FFF
15A, 001
15B, 000
15C, 000
15D, 000
15E, 001
15F, 001
160, 000
161, 000
162, 000
163, 001
164, 001
165, 001
166, 000
167, 000
168, 001
169, 001
16A, 001
16B, 000
16C, 000
16D, 000
16E, 000
16F, 000
170, 000
171, 000
172, 000
173, 000
174, 000
175, 001
176, 001
177, 001
178, 000
179, 000
17A, 000
17B, 000
17C, 000
17D, 000
17E, 000
17F, 000
180, 000
181, 000
182, 000
183, 000
184, 000
185, 001
186, FFF
187, 001
188, 000
189, 000
18A, 000
18B, 000
18C, 000
18D, 000
18E, 000
18F, 000
190, 000
191, 000
192, 000
193, 000
194, 001
195, 002
196, 003
197, 002
198, 001
199, 000
19A, 000
19B, 000
19C, 000
19D, 000
19E, 000
19F, 000
1A0, 000
1A1, 000
1A2, 000
1A3, 000
1A4, 001
1A5, FFF
1A6, 002
1A7, FFF
1A8, 001
1A9, 000
1AA, 000
1AB, 000
1AC, 000
1AD, 000
1AE, 000
1AF, 000
1B0, 000
1B1, 000
1B2, 000
1B3, 000
1B4, 001
1B5, 001
1B6, 002
1B7, 001
1B8, 001
1B9, 000
1BA, 000
1BB, 000
1BC, 000
1BD, 000
1BE, 000
1BF, 000
1C0, 000
1C1, 000
1C2, 000
1C3, 000
1C4, 000
1C5, 000
1C6, 000
1C7, 000
1C8, 000
1C9, 000
1CA, 000
1CB, 000
1CC, 000
1CD, 000
1CE, 000
1CF, 000
1D0, 000
1D1, 000
1D2, 000
1D3, 000
1D4, 000
1D5, 000
1D6, 000
1D7, 000
1D8, 000
1D9, 000
1DA, 000
1DB, 000
1DC, 000
1DD, 000
1DE, 000
1DF, 000
1E0, 000
1E1, 000
1E2, 000
1E3, 000
1E4, 000
1E5, 000
1E6, 000
1E7, 000
1E8, 000
1E9, 000
1EA, 000
1EB, 000
1EC, 000
1ED, 000
1EE, 000
1EF, 000
1F0, 000
1F1, 000
1F2, 000
1F3, 000
1F4, 000
1F5, 000
1F6, 000
1F7, 000
1F8, 000
1F9, 000
1FA, 000
1FB, 000
1FC, 000
1FD, 000
1FE, 000
1FF, 000

/ --- TABLERO VISIBLE (todas ocultas = 0) ---
200, 000
201, 000
202, 000
203, 000
204, 000
205, 000
